id,name
0,abseiling
1,air drumming
2,answering questions
3,applauding
4,applying cream
5,archery
6,arm wrestling
7,arranging flowers
8,assembling computer
9,auctioning
10,baby waking up
11,baking cookies
12,balloon blowing
13,bandaging
14,barbequing
15,bartending
16,beatboxing
17,bee keeping
18,belly dancing
19,bench pressing
20,bending back
21,bending metal
22,biking through snow
23,blasting sand
24,blowing glass
25,blowing leaves
26,blowing nose
27,blowing out candles
28,bobsledding
29,bookbinding
30,bouncing on trampoline
31,bowling
32,braiding hair
33,breading or breadcrumbing
34,breakdancing
35,brush painting
36,brushing hair
37,brushing teeth
38,building cabinet
39,building shed
40,bungee jumping
41,busking
42,canoeing or kayaking
43,capoeira
44,carrying baby
45,cartwheeling
46,carving pumpkin
47,catching fish
48,catching or throwing baseball
49,catching or throwing frisbee
50,catching or throwing softball
51,celebrating
52,changing oil
53,changing wheel
54,checking tires
55,cheerleading
56,chopping wood
57,clapping
58,clay pottery making
59,clean and jerk
60,cleaning floor
61,cleaning gutters
62,cleaning pool
63,cleaning shoes
64,cleaning toilet
65,cleaning windows
66,climbing a rope
67,climbing ladder
68,climbing tree
69,contact juggling
70,cooking chicken
71,cooking egg
72,cooking on campfire
73,cooking sausages
74,counting moneyy
75,country line dancing
76,cracking neck
77,crawling baby
78,crossing river
79,crying
80,curling hair
81,cutting nails
82,cutting pineapple
83,cutting watermelon
84,dancing ballet
85,dancing charleston
86,dancing gangnam style
87,dancing macarena
88,deadlifting
89,decorating the christmas tree
90,digging
91,dining
92,disc golfing
93,diving cliff
94,dodgeball
95,doing aerobics
96,doing laundry
97,doing nails
98,drawing
99,dribbling basketball
100,drinking
101,drinking beer
102,drinking shots
103,driving car
104,driving tractor
105,drop kicking
106,drumming fingers
107,dunking basketball
108,dying hair
109,eating burger
110,eating cake
111,eating carrots
112,eating chips
113,eating doughnuts
114,eating hotdog
115,eating ice cream
116,eating spaghetti
117,eating watermelon
118,egg hunting
119,exercising arm
120,exercising with an exercise ball
121,extinguishing fire
122,faceplanting
123,feeding birds
124,feeding fish
125,feeding goats
126,filling eyebrows
127,finger snapping
128,fixing hair
129,flipping pancake
130,flying kite
131,folding clothes
132,folding napkins
133,folding paper
134,front raises
135,frying vegetables
136,garbage collecting
137,gargling
138,getting a haircut
139,getting a tattoo
140,giving or receiving award
141,golf chipping
142,golf driving
143,golf putting
144,grinding meat
145,grooming dog
146,grooming horse
147,gymnastics tumbling
148,hammer throw
149,headbanging
150,headbutting
151,high jump
152,high kick
153,hitting baseball
154,hockey stop
155,holding snake
156,hopscotch
