Index,Class Label,RGB Color
0,person,254,136,186
1,chair,124,242,168
2,diningtable,43,162,114
3,bowl,43,78,177
4,cup,50,177,163
5,cell phone,113,96,35
6,bottle,168,219,45
7,pizza,32,171,220
8,book,2,116,172
9,cake,136,222,54
10,bench,102,226,138
11,remote,235,64,138
12,backpack,107,62,210
13,dog,60,254,218
14,laptop,64,255,153
15,handbag,47,188,76
16,spoon,3,183,4
17,frisbee,210,242,114
18,sofa,83,50,70
19,mouse,131,192,125
20,fork,172,17,24
21,cat,40,121,134
22,tvmonitor,215,238,214
23,bicycle,200,240,45
24,suitcase,206,62,185
